date,epu_index,GC=F,^NDX
2023-10-17,97.8,,
2023-10-18,90.33,,
2023-10-19,279.65,,
2023-10-20,287.49,,
2023-10-23,150.87,,
2023-10-24,79.87,,
2023-10-25,124.21,,
2023-10-26,37.91,,
2023-10-27,90.17,,
2023-10-30,164.09,,
2023-10-31,42.38,,
2023-11-01,132.01,,
2023-11-02,58.14,,
2023-11-03,72.02,,
2023-11-06,342.88,,
2023-11-07,122.59,,
2023-11-08,119.34,,
2023-11-09,142.71,,
2023-11-10,127.96,,
2023-11-13,116.21,,
2023-11-14,198.44,,
2023-11-15,68.82,,
2023-11-16,149.23,,
2023-11-17,168.58,,
2023-11-20,42.9,,
2023-11-21,295.43,,
2023-11-22,65.95,,
2023-11-24,94.64,,
2023-11-27,89.08,,
2023-11-28,101.83,,
2023-11-29,83.76,,
2023-11-30,147.72,,
2023-12-01,38.37,,
2023-12-04,51.19,,
2023-12-05,328.17,,
2023-12-06,88.12,,
2023-12-07,73.65,,
2023-12-08,64.67,,
2023-12-11,117.01,,
2023-12-12,36.95,,
2023-12-13,95.78,,
2023-12-14,89.93,,
2023-12-15,61.4,,
2023-12-18,264.75,,
2023-12-19,632.37,,
2023-12-20,69.49,,
2023-12-21,95.99,,
2023-12-22,52.02,,
2023-12-26,111.18,,
2023-12-27,145.72,,
2023-12-28,168.59,,
2023-12-29,107.55,,
2024-01-02,138.57,,
2024-01-03,162.46,,
2024-01-04,118.85,,
2024-01-05,106.49,,
2024-01-08,153.56,,
2024-01-09,1026.38,,
2024-01-10,73.6,,
2024-01-11,57,,
2024-01-12,76.85,,
2024-01-16,248.39,,
2024-01-17,69.96,,
2024-01-18,121.41,,
2024-01-19,147.36,,
2024-01-22,175.55,,
2024-01-23,71.62,,
2024-01-24,91.92,,
2024-01-25,114.57,,
2024-01-26,85.29,,
2024-01-29,212.58,,
2024-01-30,144.27,,
2024-01-31,81.76,,
2024-02-01,97.99,,
2024-02-02,55.14,,
2024-02-05,209.6,,
2024-02-06,109.35,,
2024-02-07,178.57,,
2024-02-08,153.72,,
2024-02-09,67.61,,
2024-02-12,215.18,,
2024-02-13,183.22,,
2024-02-14,86.93,,
2024-02-15,83.03,,
2024-02-16,58.32,,
2024-02-20,149.95,,
2024-02-21,111.52,,
2024-02-22,70.29,,
2024-02-23,117.11,,
2024-02-26,167.77,,
2024-02-27,117.39,,
2024-02-28,143.19,,
2024-02-29,105.86,,
2024-03-01,58.59,,
2024-03-04,185.31,,
2024-03-05,98.25,,
2024-03-06,107.93,,
2024-03-07,56.71,,
2024-03-08,36.66,,
2024-03-11,159.06,,
2024-03-12,104.69,,
2024-03-13,159.16,,
2024-03-14,69.68,,
2024-03-15,181.53,,
2024-03-18,140.24,,
2024-03-19,91.96,,
2024-03-20,202.01,,
2024-03-21,77.59,,
2024-03-22,73.05,,
2024-03-25,79.67,,
2024-03-26,85.54,,
2024-03-27,97.9,,
2024-03-28,59.31,,
2024-04-01,113.74,,
2024-04-02,64.34,,
2024-04-03,87.02,,
2024-04-04,79.84,,
2024-04-05,65.9,,
